brand,carName,carImg,saleVolume,price,muanfactuer,rank,carModel,energeType,marketTime,insure
大众,大众ID.3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/42a481517c384446ae0fe27e3f2c1248~tplv-resize:640:0.png,8282,"[11.39, 13.69]",上汽大众,65,紧凑型车,纯电动,2024.07,3年或10万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png,8133,"[2.99, 5.19]",吉利汽车,66,微型车,纯电动,2024.03,3年或12万公里
蔚来,蔚来ES6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,8112,"[33.8, 39.6]",蔚来,67,中型SUV,纯电动,2024.02,3年或12万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c786d6818bf460fabdb81c0cdf5f760~tplv-resize:640:0.png,8068,"[5.39, 10.2]",吉利汽车,68,紧凑型车,汽油,2024.07,4年或15万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c7a30225a14f419081c59073b9e2b74d~tplv-resize:640:0.png,7562,"[15.38, 21.98]",一汽红旗,69,中型SUV,汽油,2024.03,4年或10万公里
比亚迪,汉EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e6d6f7c2291d47f6a4a7d19c3ec01892~tplv-resize:640:0.png,7550,"[16.98, 24.98]",比亚迪,70,中大型车,纯电动,2024.02,6年或15万公里
理想汽车,理想L9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,7495,"[40.98, 43.98]",理想汽车,71,大型SUV,增程式,2024.03,5年或10万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c770aa8bf88c43d586141cc410d497aa~tplv-resize:640:0.png,7386,"[12.88, 16.88]",零跑汽车,72,中型SUV,增程式,2024.03,4年或12万公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8978837049a9472c97d5983a41127d24~tplv-resize:640:0.png,7344,"[13.39, 21.39]",奇瑞汽车,73,紧凑型SUV,汽油,2024.01,4年或10万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,7075,"[30.8, 38]",华晨宝马,74,中型SUV,汽油,2023.02,3年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,6969,"[57.5, 78]",华晨宝马,75,中大型SUV,48V轻混系统,2023.08,3年或10万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c5aa014fea141568f6df9bf6a486db0~tplv-resize:640:0.png,6811,"[12.78, 20.58]",零跑汽车,76,中型SUV,增程式,2024.03,4年或12万公里
AITO,问界M5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4b38b8a6aaa5407a9f6c0bb5bc346058~tplv-resize:640:0.png,6768,"[24.98, 27.98]",赛力斯汽车,77,中型SUV,增程式,2024.04,4年或10万公里
比亚迪,海豹DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,6729,"[14.98, 21.98]",比亚迪,78,中型车,插电式混合动力,2024.02,6年或15万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,6592,"[32.18, 37.98]",理想汽车,79,中大型SUV,增程式,2024.03,5年或10万公里
吉利银河,银河L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,6559,"[11.37, 16.57]",吉利银河,80,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/20187774599c4f4186b8e9913cf2989a~tplv-resize:640:0.png,6456,"[16.48, 23.88]",一汽红旗,81,中型车,纯电动,2024.04,3年或30万公里
吉利银河,银河L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0b3ee25dceca4fe5982a29702074a0a2~tplv-resize:640:0.png,6424,"[9.38, 12.98]",吉利银河,82,紧凑型车,插电式混合动力,2024.03,4年或10万公里
丰田,格瑞维亚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dc353aa6c1ef46eda1ea28f39304c725~tplv-resize:640:0.png,6399,"[25.98, 38.08]",一汽丰田,83,中大型MPV,油电混合,2024.04,4年或10万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,6318,"[19.98, 33]",长城汽车,84,紧凑型SUV,汽油,2023.08,5年或15万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fe6bc328cfa64a6eb81d94f888a6e001~tplv-resize:640:0.png,6158,"[20.88, 29.58]",广汽丰田,85,中型SUV,油电混合,2024.05,3年或10万公里
吉利汽车,缤越,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f4da599a90704dfabdcd45194b4dea30~tplv-resize:640:0.png,6046,"[6.08, 8.98]",吉利汽车,86,小型SUV,汽油,2024.07,4年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,6022,"[19.4, 39.99]",华晨宝马,87,紧凑型SUV,汽油,2024.08,3年或10万公里
领克,领克07 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a76a8a25a58848549e8de313a4903da4~tplv-resize:640:0.png,6001,"[15.98, 17.98]",领克,88,中型车,插电式混合动力,2024.05,5年或10万公里
哈弗,哈弗H6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/62328473441241d98a6a623ffe67178f~tplv-resize:640:0.png,5981,"[7.89, 12.99]",长城汽车,89,紧凑型SUV,汽油,2024.06,3年或10万公里
奇瑞,风云T9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/987f70ca6b3c413da98a13edc41e2ae4~tplv-resize:640:0.png,5876,"[12.99, 16.99]",奇瑞汽车,90,中型SUV,插电式混合动力,2024.05,不限年限/里程(责任免除条款以官方为准)
领克,领克08 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,5853,"[17.88, 27.1]",领克,91,中型SUV,插电式混合动力,2024.08,5年或10万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a84daad1c4b416aac405f4ec61a2e4c~tplv-resize:640:0.png,5777,"[13.59, 15.99]",长安启源,92,中大型车,纯电动,2024.05,3年或15万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,5753,"[7.69, 10.79]",一汽大众,93,紧凑型车,汽油,2024.04,3年或10万公里
哪吒汽车,哪吒L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7c9a57b8f81641d99193dd643992e48f~tplv-resize:640:0.png,5628,"[12.99, 16.29]",合众汽车,94,中型SUV,增程式,2024.04,4年或12万公里
五菱汽车,五菱宏光,https://p9-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,5614,"[4.65, 5.78]",上汽通用五菱,95,微面,汽油,2022.07,3年或10万公里
比亚迪,海狮07 EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b69406d5ac524645bf19f945f9887226~tplv-resize:640:0.png,5522,"[18.98, 23.98]",比亚迪,96,中型SUV,纯电动,2024.05,6年或15万公里
广汽传祺,传祺M8,https://p3-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,5466,"[16.98, 33.28]",广汽传祺,97,中大型MPV,汽油,2024.05,3年或10万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,5407,"[9.09, 13.79]",上汽大众,98,紧凑型车,汽油,2023.08,3年或10万公里
深蓝汽车,深蓝SL03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,5218,"[12.49, 69.99]",深蓝汽车,99,中型车,增程式,2024.02,3年或12万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png,5191,"[14.38, 23.48]",一汽丰田,100,中型车,汽油,2024.07,3年或10万公里
捷途,捷途山海T2,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/aa7a7ac338c74ce58dc6939b43be91fa~tplv-resize:640:0.png,5175,"[17.49, 20.49]",奇瑞汽车,101,紧凑型SUV,插电式混合动力,2024.04,4年或10万公里
哈弗,哈弗猛龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a9dc9e5ea72d414cb832108cf2404eef~tplv-resize:640:0.png,5118,"[16.18, 18.88]",长城汽车,102,紧凑型SUV,插电式混合动力,2024.04,6年或15万公里
蔚来,蔚来ET5T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a03cf015743343d0aa5a45c8b02551c9~tplv-resize:640:0.png,5113,"[29.8, 35.6]",蔚来,103,中型车,纯电动,2024.02,3年或12万公里
深蓝汽车,深蓝S07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e547cdc3ae5c487e87a624378b76ab13~tplv-resize:640:0.png,5092,"[13.99, 19.79]",深蓝汽车,104,中型SUV,增程式,2024.07,3年或12万公里
丰田,皇冠陆放,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6a54e46c78d64ba591d90dcaeeef96d7~tplv-resize:640:0.png,5000,"[20.78, 28.78]",一汽丰田,105,中型SUV,油电混合,2024.05,3年或10万公里
大众,T-ROC探歌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png,4976,"[12.39, 14.49]",一汽大众,106,紧凑型SUV,汽油,2024.01,3年或10万公里
长安,长安UNI-Z PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b9b0c69241984c2a9a06d1245041668f~tplv-resize:640:0.png,4942,"[11.79, 13.19]",长安汽车,107,紧凑型SUV,插电式混合动力,2024.03,3年或10万公里
长安,长安UNI-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/16e21ac894654caebd0997e976d3bebf~tplv-resize:640:0.png,4939,"[9.69, 13.99]",长安汽车,108,紧凑型车,汽油,2024.03,3年或10万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,4834,"[8.99, 14.69]",广汽本田,109,紧凑型车,汽油,2024.03,3年或10万公里
小鹏汽车,小鹏G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67c41851c96341c19c0461ff9db91911~tplv-resize:640:0.png,4817,"[17.99, 25.69]",小鹏汽车,111,中型SUV,纯电动,2024.04,5年或12万公里
别克,君威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/65ca9a0988cf45e29d3c04aca829f355~tplv-resize:640:0.png,4807,"[11.48, 20.48]",上汽通用别克,112,中型车,汽油,2023.07,3年或10万公里
